PROVINCE,Barcelona,7612
PROVINCE,Girona,1245
PROVINCE,Lleida,436
PROVINCE,Tarragona,537
STATE,Cataluña,9830
COUNTY,Mallorca,721
COUNTY,Menorca,127
COUNTY,Pitiüses,62
PROVINCE,"Balears, Illes",910
PROVINCE,Navarra,542
PROVINCE,Huesca,99
PROVINCE,Teruel,25
PROVINCE,Zaragoza,415
STATE,Aragón,539
PROVINCE,Madrid,1360
PROVINCE,Alicante/Alacant,257
PROVINCE,Castellón/Castelló,189
PROVINCE,Valencia/València,927
STATE,Comunidad Valenciana,1373
PROVINCE,"Rioja, La",135
PROVINCE,Almería,43
PROVINCE,Cádiz,40
PROVINCE,Córdoba,85
PROVINCE,Granada,87
PROVINCE,Huelva,14
PROVINCE,Jaén,11
PROVINCE,Málaga,51
PROVINCE,Sevilla,127
STATE,Andalucia,458
PROVINCE,"Coruña, A",116
PROVINCE,Lugo,29
PROVINCE,Ourense,12
PROVINCE,Pontevedra,62
STATE,Galicia,219
PROVINCE,Murcia,112
PROVINCE,Albacete,48
PROVINCE,Ciudad Real,23
PROVINCE,Cuenca,32
PROVINCE,Guadalajara,36
PROVINCE,Toledo,57
STATE,Castilla - La Mancha,196
PROVINCE,Asturias,68
PROVINCE,Cantabria,48
PROVINCE,Araba/Álava,45
PROVINCE,Bizkaia,185
PROVINCE,Gipuzkoa,70
STATE,País Vasco,300
PROVINCE,Badajoz,29
PROVINCE,Cáceres,18
STATE,Extremadura,47
PROVINCE,Ávila,21
PROVINCE,Burgos,59
PROVINCE,León,32
PROVINCE,Palencia,14
PROVINCE,Salamanca,27
PROVINCE,Segovia,13
PROVINCE,Soria,13
PROVINCE,Valladolid,49
PROVINCE,Zamora,4
STATE,Castilla y León,232
COUNTY,Fuerteventura,1
COUNTY,Gomera (La),1
COUNTY,Gran Canaria,23
COUNTY,Tenerife,20
STATE,Canarias,45
PROVINCE,Melilla,1
-,ALTRES,10
